0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/assets/css/liboutcomes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/assets/js/public/dataScienceManualFunction.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/assets/js/public/loginFunction.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_1.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_3.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_2.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_4.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_5.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_6.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_7.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_8.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_11.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_9.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_10.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_34.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_12.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:17 +0900] "GET /LibOutcomesWeb/img/pic_33.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_13.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_14.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_15.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_32.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_16.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_17.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_18.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_19.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_20.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_23.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_24.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_26.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_25.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_22.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_21.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_27.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_29.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_28.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_30.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_31.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_36.png HTTP/1.1" 200 12359
